product_name,product_description,count_of_ratings,product_price,regular_price,product_url,effect,ingredients,rating,capacity,regular_unit_price_100ml,promotion_unit_price_100ml,brand,discount,lemmatized_ingredients
Garnier Vitamin C,"rozświetlający krem z witaminą C do twarzy na dzień, 50 ml",7,23.09,32.99,/garnier-rozswietlajacy-krem-z-witamina-c-do-twarzy-na-dzien-50-ml-000000000000415338.html,"Odżywcze,
Rozświetlające,
Wygładzające",967591 6 - INGREDIENTS: AQUA / WATER • DICAPRYLYL ETHER • CAPRYLIC/CAPRIC TRIGLYCERIDE • CETEARYL ALCOHOL • GLYCERIN • SIMMONDSIA CHINENSIS SEED OIL / JOJOBA SEED OIL • PROPANEDIOL • GLYCERYL STEARATE CITRATE • GLYCERYL STEARATE • PENTYLENE GLYCOL • ARGANIA SPINOSA KERNEL OIL • ALOE BARBADENSIS LEAF JUICE POWDER • CITRUS PARADISI FRUIT EXTRACT / GRAPEFRUIT FRUIT EXTRACT • CALCIUM PCA • GLYCERYL STEARATE SE • SODIUM PHYTATE • ARGININE • ALCOHOL • ASCORBYL GLUCOSIDE • CITRIC ACID • XANTHAN GUM • TOCOPHEROL • SALICYLIC ACID • MICA • CI 77891 / TITANIUM DIOXIDE • LINALOOL • GERANIOL • LIMONENE • CITRAL • BENZYL ALCOHOL • PARFUM / FRAGRANCE (F.I.L. Z289279/1).,4.6,50.0,65.98,46.18,Garnier,30.0090936647469,"967591 6 - ingredient: water,water,dicaprylyl ether,caprylic,capric triglyceride,cetearyl alcohol,glycerin,simmondsia chinensis seed oil,jojoba seed oil,propanediol,glyceryl stearate citrate,glyceryl stearate,pentylene glycol,argania spinosa kernel oil,aloe barbadensis leaf juice powder,citrus paradisi fruit extract,grapefruit fruit extract,calcium pca,glyceryl stearate se,sodium phytate,arginine,alcohol,ascorbyl glucoside,citric acid,xanthan gum,tocopherol,salicylic acid,mica,ci 77891,titanium dioxide,linalool,geraniol,limonene,citral,benzyl alcohol,parfum,fragrance (f.i.l.z289279/1)."
Iwostin Solecrin,"krem ochronny do twarzy SPF50+, 50 ml",24,57.99,57.99,/iwostin-krem-ochronny-do-twarzy-spf50-50-ml-000000000000384762.html,ochrona UV,"Aqua,Caprylic/Capric Triglyceride,C12-15 Alkyl Benzoate,Ethylhexyl Methoxycinnamate,Isopropyl Palmitate,Methylpropanediol,Titanium Dioxide,Glycerin,Potassium Cetyl Phosphate,Butyl Methoxydibenzoylmethane,Ethoxydiglycol,Methylene Bis-Benzotriazolyl Tetramethylbutylphenol [nano],Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,Hydrogenated Polydecene,VP/Eicosene Copolymer,Glyceryl Stearate SE,Cetearyl Alcohol,Aluminum Starch Octenylsuccinate,Caprylyl Glycol,Laminaria Ochroleuca Extract,Squalane,Hydrogenated Olive Oil Stearyl Esters,Decyl Glucoside,Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Propylene Glycol,PEG-8,Hydroxystearic Acid,Polysorbate 60,Sorbitan Isostearate,Xanthan Gum,Triethanolamine,Citric Acid,Tocopherol,Tocopheryl Acetate,Ascorbic Acid,Ascorbyl Palmitate,BHT,Disodium EDTA,Phenylpropanol,Alumina,Dimethicone",3.4,50.0,115.98,115.98,Iwostin,0.0,"water, caprylic,capric triglyceride, c12 - 15 alkyl benzoate, ethylhexyl methoxycinnamate, isopropyl palmitate, methylpropanediol, titanium dioxide, glycerin, potassium cetyl phosphate, butyl methoxydibenzoylmethane, ethoxydiglycol, methylene bis - benzotriazolyl tetramethylbutylphenol, nano],bis - ethylhexyloxyphenol methoxyphenyl triazine, hydrogenated polydecene, vp,eicosene copolymer, glyceryl stearate se, cetearyl alcohol, aluminum starch octenylsuccinate, caprylyl glycol, laminaria ochroleuca extract, squalane, hydrogenated olive oil stearyl esters, decyl glucoside, hydroxyethyl acrylate,sodium acryloyldimethyl taurate copolymer, acrylates,c10 - 30 alkyl acrylate crosspolymer, propylene glycol, peg-8,hydroxystearic acid, polysorbate 60,sorbitan isostearate, xanthan gum, triethanolamine, citric acid, tocopherol, tocopheryl acetate, ascorbic acid, ascorbyl palmitate, bht, disodium edta, phenylpropanol, alumina, dimethicone"
Bielenda Professional Energy Boost,"energetyzująco-nawilżający krem z ultrastabilną witaminą C, 50 ml",46,54.99,69.99,/bielenda-professional-energetyzujaco-nawilzajacy-krem50ml-000000000000357725.html,nawilżający,"Aqua (Water),Propanediol,Glycerin,Trehalose,Crambe Abyssinica Seed Oil,Stearyl Alcohol,Triethylhexanoin,Squalane,Dimethicone,3-0-Ethyl Ascorbic Acid,Ferulic Acid,Caffeine,Panax Ginseng Root Extract,Tocopheryl Acetate,Allantoin,Lecithin,Carnitine,Ubiquinone,Tocopherol,Citric Acid,Sodium Citrate,Biotin,Beta-Sitosterol,Ascorbyl Palmitate,Glycine Soja (Soybean) Oil,Isododecane,Hydrogenated Tetradecenyl/Methylpentadecene,Ammonium Acryloyldimethyltaurate/VP Copolymer,Sodium Polyacrylate,Propylene Glycol,Sodium Stearoyl Glutamate,Phenoxyethanol,Ethylhexylglycerin,Potassium Sorbate,Trisodium EDTA,Methylparaben,Butylparaben,Ethylparaben,Propylparaben,Disodium EDTA,Benzyl Alcohol,Parfum (Fragrance),Limonene,Linalool",4.8,50.0,139.98,109.98,Bielenda,21.431633090441483,"water (water),propanediol, glycerin, trehalose, crambe abyssinica seed oil, stearyl alcohol, triethylhexanoin, squalane, dimethicone,3 - 0 - ethyl ascorbic acid, ferulic acid, caffeine, panax ginseng root extract, tocopheryl acetate, allantoin, lecithin, carnitine, ubiquinone, tocopherol, citric acid, sodium citrate, biotin, beta - sitosterol, ascorbyl palmitate, glycine soja (soybean) oil, isododecane, hydrogenated tetradecenyl,methylpentadecene, ammonium acryloyldimethyltaurate,vp copolymer, sodium polyacrylate, propylene glycol, sodium stearoyl glutamate, phenoxyethanol, ethylhexylglycerin, potassium sorbate, trisodium edta, methylparaben, butylparaben, ethylparaben, propylparaben, disodium edta, benzyl alcohol, parfum (fragrance),limonene, linalool"
Dermedic Hydrain2,"nawilżający krem o przedłużonym działaniu, 50 g",453,24.99,24.99,/dermedic-nawilzajacy-krem-o-przedluzonym-dzialaniu-50ml-000000000000247674.html,nawilżający,"Aqua, Paraffinum Liquidum, Glycerin, Methylpropanediol, Butyrospermum Parkii Butter, Cyclopentasiloxane, Dimethicone, Urea, peg-100 stearate, Glyceryl Stearate, Cetyl Alcohol, Stearic Acid, Tocopheryl Acetate, Triethanolamine, Acrylates/c10-30 Alkyl Acrylate Crosspolymer, Xanthan Gum, Dmdm Hydantoin, Iodopropynyl Butylcarbamate, Edta, Parfum.",4.200000000000001,50.0,49.98,49.98,Dermedic,0.0,"water, paraffinum liquidum, glycerin, methylpropanediol, butyrospermum parkii butter, cyclopentasiloxane, dimethicone, urea, peg-100 stearate, glyceryl stearate, cetyl alcohol, stearic acid, tocopheryl acetate, triethanolamine, acrylates,c10 - 30 alkyl acrylate crosspolymer, xanthan gum, dmdm hydantoin, iodopropynyl butylcarbamate, edta, parfum."
Pharmaceris R Calm-Rosalgin,"krem redukujący zaczerwienienia na noc z kojącym kompleksem Ca2+, 30 ml",13,59.99,59.99,/pharmaceris-krem-redukujacy-zaczerwienienia-na-noc-z-kojacym-kompleksem-ca2-30-ml-000000000000264707.html,Kojące,"InnoTetrapeptide™ – innowacyjny peptyd stworzony aby zmniejszać widoczność zaczerwienień wywołanych reakcjami zapalnymi. Hamuje uwalnianie interleukin odpowiedzialnych za reakcje zapalne.
Tioprolina – jest silnym antyoksydantem. Wspomaga regenerację naskórka. Działa przeciwstarzeniowo i przeciwzapalnie. Chroni przed szkodliwym działaniem czynników zewnętrznych.
Ekstrakt z liści drzewa oliwnego – działa detoksyfikująco, usuwa szkodliwe produkty przemiany materii w komórkach, zwiększając odporność skóry na stres. Składnik zainspirowany nagrodą Nobla w dziedzinie biologii.
Calm-calcium Ca2+ – jony wapnia koją i łagodzą podrażnienia, posiadają właściwości antyseptyczne. W szczególności dedykowane dla skór wrażliwych z trądzikiem różowatym.",4.8,30.0,199.97,199.97,Pharmaceris,0.0,"innotetrapeptide ™ – innowacyjny peptyd stworzony aby zmniejszać widoczność zaczerwienień wywołanych reakcjami zapalnymi. hamuje uwalnianie interleukin odpowiedzialnych za reakcje zapalne. 
 tioprolina – jest silnym antyoksydantem. wspomaga regenerację naskórka. działa przeciwstarzeniowo i przeciwzapalnie. chroni prze szkodliwym działaniem czynników zewnętrznych. 
 ekstrakt z liści drzewa oliwnego – działa detoksyfikująco, usuwa szkodliwe produkty przemiany materii w komórkach, zwiększając odporność skóry na stre. składnik zainspirowany nagrodą nobla w dziedzinie biologii. 
 calm - calcium ca2 + – jony wapnia koją i łagodzą podrażnienia, posiadają właściwości antyseptyczne. w szczególności dedykowane dla skór wrażliwych z trądzikiem różowatym."
Ziaja Kozie Mleko,"krem nawilżający do twarzy dla cery suchej i skłonna do zmarszczek na dzień i na noc, 50 ml",11,11.29,11.29,/ziaja-krem-nawilzajacy-do-twarzy-dla-cery-suchej-i-sklonna-do-zmarszczek-na-dzien-i-na-noc-50-ml-000000000000215289.html,nawilżający,"Aqua (Water),Caprylic/Capric Triglyceride,Isononyl Isononanoate,Glycerin,Octocrylene,Cetearyl Alcohol,PEG-20 Stearate,Butyl Methoxydibenzoylmethane,Butyrospermum Parkii (Shea) Butter,Dimethicone,Glyceryl Stearate,Panthenol,Tocopheryl Acetate,Lactobacillus/Milk Solids/Glycine Soja (Soybean) Oil Ferment,Cyclodextrin,Olea Europaea (Olive) Fruit Oil,Propylene Glycol,Goat Milk Extract,Retinyl Palmitate,Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,DMDM Hydantoin,Methylparaben,Parfum (Fragrance),Linalool,Citronellol,Hexyl Cinnamal,Geraniol,Eugenol,Alpha-Isomethyl Ionone,Coumarin,Limonene,Citric Acid",4.3,50.0,22.58,22.58,Ziaja,0.0,"water (water),caprylic,capric triglyceride, isononyl isononanoate, glycerin, octocrylene, cetearyl alcohol, peg-20 stearate, butyl methoxydibenzoylmethane, butyrospermum parkii (shea) butter, dimethicone, glyceryl stearate, panthenol, tocopheryl acetate, lactobacillus,milk solids,glycine soja (soybean) oil ferment, cyclodextrin, olea europaea (olive) fruit oil, propylene glycol, goat milk extract, retinyl palmitate, hydroxyethyl acrylate,sodium acryloyldimethyl taurate copolymer, dmdm hydantoin, methylparaben, parfum (fragrance),linalool, citronellol, hexyl cinnamal, geraniol, eugenol, alpha - isomethyl ionone, coumarin, limonene, citric acid"
Embryolisse,"kryjący krem CC do twarzy SPF20, 30 ml",10,129.99,129.99,/embryolisse-kryjacy-krem-cc-do-twarzy-spf20-30-ml-000000000000370365.html,ochrona UV,AQUA (WATER). ISODECYL NEOPENTANOATE. CI 77891 (TITANIUM DIOXIDE). PENTAERYTHRITYL TETRABEHENATE. POLYMETHYL METHACRYLATE. BIS-ETHYLHEXYLPHENOL METHOXYPHENYL TRIAZINE. PEG-30 DIPHOLYHYDROXYSTEARATE. PENTAERYTHLITYL TETRASTEARATE. GLYCERIN. CORN STARCH MODIFIED. CI 77492 (IRON OXIDE). NYLON-12 FLUORESCENT BRIGHTENER 230 SALT. POLYGLYCERYL-4 ISOSTEARATE. SYNTHETIC FLUORPHLOGOPITE. CI 77491 (IRON OXIDE). PHENOXYETHANOL. PARFUM (FRAGRANCE). CI 77499 (IRON OXIDE). SODIUM CHLORIDE. POTASSIUM SORBATE. POLYVINYLALCOHOL CROSSPOLYMER. SODIUM HYALURONATE. BIOSACCHARIDE GUM-1.,4.8,30.0,433.3,433.3,Embryolisse,0.0,water (water). isodecyl neopentanoate. ci 77891 (titaniumdioxide). pentaerythrityl tetrabehenate. polymethyl methacrylate. bis - ethylhexylphenol methoxyphenyl triazine. peg-30 dipholyhydroxystearate. pentaerythlityl tetrastearate. glycerin. corn starch modified. ci 77492 (ironoxide). nylon-12 fluorescent brightener 230 salt. polyglyceryl-4 isostearate. synthetic fluorphlogopite. ci 77491 (ironoxide). phenoxyethanol. parfum (fragrance). ci 77499 (ironoxide). sodium chloride. potassium sorbate. polyvinylalcohol crosspolymer. sodium hyaluronate. biosaccharide gum-1.
Feel Free Facial Sunscreen,"krem do twarzy SPF30, 50 ml",41,34.99,49.99,/feel-free-krem-do-twarzy-spf30-50-ml-000000000000384960.html,ochrona UV,"Aqua (Water), Caprylic/Capric Triglyceride, Aloe Barbadensis Leaf Juice*, Zinc Oxide, Coco-Caprylate/Caprate, Titanium Dioxide, Glycerin, Polyglyceryl-2 Dipolyhydroxystearate, Pentylene Glycol, Polyglyceryl-3 Diisostearate, Aluminium Hydroxide, Persea Gratissima (Avocado) Oil*, Distarch Phosphate, Stearic Acid, Simmondsia Chinensis (Jojoba) Seed Oil*, Tocopherol, Citrus Limon (Lemon) Fruit Extract*, Zingiber Officinale Root Extract*, Glycyrrhiza Glabra (Licorice) Root Extract*, Beta-Sitosterol, Squalene, Glyceryl Laurate, Potassium Sorbate, Sodium Benzoate, Benzyl Alcohol, Xanthan Gum, Parfum (Fragrance)**.
* Składniki pochodzące z upraw ekologicznych.
** Zapach pochodzenia naturalnego.
Ogółem 99,09% pochodzenia naturalnego.
14,84% wszystkich składników pochodzi z upraw ekologicznych.",3.2999999999999994,50.0,99.98,69.98,Feel Free,30.006001200240046,"water (water), caprylic,capric triglyceride, aloe barbadensis leaf juice *, zinc oxide, coco - caprylate,caprate, titanium dioxide, glycerin, polyglyceryl-2 dipolyhydroxystearate, pentylene glycol, polyglyceryl-3 diisostearate, aluminium hydroxide, persea gratissima (avocado) oil *, distarch phosphate, stearic acid, simmondsia chinensis (jojoba) seed oil *, tocopherol, citrus limon (lemon) fruit extract *, zingiber officinale root extract *, glycyrrhiza glabra (licorice) root extract *, beta - sitosterol, squalene, glyceryl laurate, potassium sorbate, sodium benzoate, benzyl alcohol, xanthan gum, parfum (fragrance) * *. 
 * składniki pochodzące z upraw ekologicznych. 
 * * zapach pochodzenia naturalnego. 
 ogółem 99,09 % pochodzenia naturalnego. 
 14,84 % wszystkich składników pochodzi z upraw ekologicznych."
Skin79 Waterproof Sun Gel UV,"lekki krem przeciwsłoneczny do twarzy z SPF50 PA++++, 100 ml",99,84.99,84.99,/skin79-lekki-krem-przeciwsloneczny-do-twarzy-z-spf50-pa-100-ml-000000000000435701.html,ochrona UV,"Water,Ethylhexyl Methoxycinnamate,Ethylhexyl Salicylate,Homosalate,Propanediol,Diethylamino Hydroxybenzoyl Hexyl Benzoate,Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,Pentylene Glycol,1,2-Hexanediol,Ammonium Acryloyldimethyltaurate/VP Copolymer,Octyldodecanol,Dimethicone,Phenoxyethanol,Glyceryl Stearate,Fragrance (Limonene, Linalool, Citronellol, Citral, Hydroxycitronellal),Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Tromethamine,Polyglyceryl-3 Methylglucose Distearate,Polysorbate 20,PEG-100 Stearate,Helianthus Annuus (Sunflower) Seed Oil,Calendula Officinalis Flower Extract,Houttuynia Cordata Extract,Aloe Barbadensis Leaf Water,Centella Asiatica Extract,Chamomilla Recutita (Matricaria) Flower Extract,Butylene Glycol,Caprylyl Glycol",5.0,100.0,84.99,84.99,Skin79,0.0,"water, ethylhexyl methoxycinnamate, ethylhexyl salicylate, homosalate, propanediol, diethylamino hydroxybenzoyl hexyl benzoate, bis - ethylhexyloxyphenol methoxyphenyl triazine, pentylene glycol,1,2 - hexanediol, ammonium acryloyldimethyltaurate,vp copolymer, octyldodecanol, dimethicone, phenoxyethanol, glyceryl stearate, fragrance ( limonene, linalool, citronellol, citral, hydroxycitronellal),acrylates,c10 - 30 alkyl acrylate crosspolymer, tromethamine, polyglyceryl-3 methylglucose distearate, polysorbate 20,peg-100 stearate, helianthus annuus (sunflower) seed oil, calendula officinalis flower extract, houttuynia cordata extract, aloe barbadensis leaf water, centella asiatica extract, chamomilla recutita (matricaria) flower extract, butylene glycol, caprylyl glycol"
Ziaja Kozie Mleko,"ultralekki krem anti-age do twarzy SPF15, 50 ml",10,13.99,13.99,/ziaja-ultralekki-krem-anti-age-do-twarzy-spf15-50-ml-000000000000415323.html,ochrona UV,"Aqua (Water), Hexyl Laurate, Isohexadecane, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Ethylhexyl Stearate, Ethylhexyl Triazone, Glycerin, Glyceryl Stearate, PEG-100 Stearate, Methylsilanol Mannuronate, Potassium Cetyl Phosphate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Propylene Glycol, Goat Milk Extract, Tocopheryl Acetate, Carbomer, Phenoxyethanol, Ethylhexylglycerin, Parfum (Fragrance), Linalool, Citronellol, Hexyl Cinnamal, Geraniol, Benzyl Salicylate, Eugenol, Limonene, Coumarin, Alpha-Isomethyl Ionone, Sodium Hydroxide. Podana lista składników jest zgodna z aktualnym stanem wytwarzania na 2021-08",5.0,50.0,27.98,27.98,Ziaja,0.0,"water (water), hexyl laurate, isohexadecane, diethylamino hydroxybenzoyl hexyl benzoate, ethylhexyl stearate, ethylhexyl triazone, glycerin, glyceryl stearate, peg-100 stearate, methylsilanol mannuronate, potassium cetyl phosphate, bis - ethylhexyloxyphenol methoxyphenyl triazine, propylene glycol, goat milk extract, tocopheryl acetate, carbomer, phenoxyethanol, ethylhexylglycerin, parfum (fragrance), linalool, citronellol, hexyl cinnamal, geraniol, benzyl salicylate, eugenol, limonene, coumarin, alpha - isomethyl ionone, sodium hydroxide. podana lista składników jest zgodna z aktualnym stanem wytwarzania na 2021 - 08"
Eveline Cosmetics Gold Lift Expert,"odmładzający krem-serum do twarzy na dzień i noc 60+, 50 ml",18,18.29,23.99,/eveline-60-krem-do-twarzy-na-dzien-na-noc-50ml-000000000000289967.html,odmładzający,"Aqua (Water),Cetearyl Alcohol,Ceteareth-20,Glycerin,Butyrospermum Parkii Butter,Glycine Soja Oil,Petrolatum,Dimethicone,Cetyl Alcohol,Octyldodecanol,Paraffinum Liquidum,Dicaprylyl Carbonate,Persea Gratissima Oil,Argania Spinosa Kernel Oil,Sclerocarya Birrea Seed Oil,Olus Oil,Creatine,Sodium Hyaluronate,Cholesterol,Hydrolyzed Soy Protein,Maris Limus Extract,Borago Officinalis Leaf Extract,Laminaria Hyperborea Extract,Rosa Canina Seed Extract,Ostrea Shell Extract,Cyperus Esculentus Tuber Extract,Adenosine,Ceramide NP,Ceramide AP,Ceramide EOP,Phytosphingosine,Tocopheryl Acetate,Gold,Tocopherol,Betaine,Propylene Glycol,Parfum (Fragrance),Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Triethanolamine,Butylene Glycol,Ethylhexyl Methoxycinnamate,Phenoxyethanol,Methylparaben,Butylparaben,Ethylparaben,Propylparaben,DMDM Hydantoin,Ethylhexylglycerin,Potassium Sorbate,Sodium Benzoate,Disodium EDTA,Methyl Methacrylate Crosspolymer,Sodium Lauroyl Lactylate,Caprylyl Glycol,Carbomer,Xanthan Gum,Sorbic Acid,BHT,Benzyl Alcohol,Benzyl Salicylate,Citronellol,Coumarin,Limonene,Hydroxycitronellal,Hexyl Cinnamal,Linalool,CI 77820.",4.8,50.0,47.98,36.58,Eveline Cosmetics,23.759899958315962,"water (water),cetearyl alcohol, ceteareth-20,glycerin, butyrospermum parkii butter, glycine soja oil, petrolatum, dimethicone, cetyl alcohol, octyldodecanol, paraffinum liquidum, dicaprylyl carbonate, persea gratissima oil, argania spinosa kernel oil, sclerocarya birrea seed oil, olus oil, creatine, sodium hyaluronate, cholesterol, hydrolyzed soy protein, maris limus extract, borago officinalis leaf extract, laminaria hyperborea extract, rosa canina seed extract, ostrea shell extract, cyperus esculentus tuber extract, adenosine, ceramide np, ceramide ap, ceramide eop, phytosphingosine, tocopheryl acetate, gold, tocopherol, betaine, propylene glycol, parfum (fragrance),acrylates,c10 - 30 alkyl acrylate crosspolymer, triethanolamine, butylene glycol, ethylhexyl methoxycinnamate, phenoxyethanol, methylparaben, butylparaben, ethylparaben, propylparaben, dmdm hydantoin, ethylhexylglycerin, potassium sorbate, sodium benzoate, disodium edta, methyl methacrylate crosspolymer, sodium lauroyl lactylate, caprylyl glycol, carbomer, xanthan gum, sorbic acid, bht, benzyl alcohol, benzyl salicylate, citronellol, coumarin, limonene, hydroxycitronellal, hexyl cinnamal, linalool, ci 77820."
Ziaja Naturalnie Pielęgnujemy,"odżywczy krem do twarzy na dzień i noc, 50 ml",13,12.29,12.29,/ziaja-odzywczy-krem-do-twarzy-na-dzien-i-noc-50-ml-000000000000411825.html,odżywczy,"Aqua (Water),Octyldodecanol,Canola Oil,Helianthus Annuus (Sunflower) Seed Oil,Polyglyceryl-3 Ricinoleate,Glycerin,Simmondsia Chinensis (Jojoba) Seed Oil,Diisostearoyl Polyglyceryl-3 Dimer Dilinoleate,Punica Granatum Sterols,Butyrospermum Parkii (Shea) Butter,Tocopheryl Acetate,Olea Europaea (Olive) Fruit Oil,Magnesium Sulfate,Hydrogenated Castor Oil,Sodium Benzoate,Parfum (Fragrance),Citral,Limonene,Citric Acid",4.3,50.0,24.58,24.58,Ziaja,0.0,"water (water),octyldodecanol, canola oil, helianthus annuus (sunflower) seed oil, polyglyceryl-3 ricinoleate, glycerin, simmondsia chinensis (jojoba) seed oil, diisostearoyl polyglyceryl-3 dimer dilinoleate, punica granatum sterols, butyrospermum parkii (shea) butter, tocopheryl acetate, olea europaea (olive) fruit oil, magnesium sulfate, hydrogenated castor oil, sodium benzoate, parfum (fragrance),citral, limonene, citric acid"
Ziaja med Med.,"emulsja z 3% mocznikiem do twarzy, 50 ml",9,21.99,21.99,/ziaja-med-emulsja-z-3-mocznikiem-do-twarzy-50-ml-000000000000387539.html,Zmiękczające,"Aqua (Water),Isononyl Isononanoate,Butylene Glycol Dicaprylate/Dicaprate,Glycerin,Propylene Glycol,Urea,Cetearyl Alcohol,Glyceryl Stearate,PEG-100 Stearate,Potassium Cetyl Phosphate,Cetyl Palmitate,Dimethicone,Hydrogenated Coco-Glycerides,Macadamia Ternifolia Seed Oil,Gossypium Herbaceum (Cotton) Seed Oil,Squalane,Sodium Lactate,Ceramide 3,Ceramide 6 II,Ceramide 1,Phytosphingosine,Cholesterol,Sodium Lauroyl Lactylate,Carbomer,Xanthan Gum,Panthenol,Malic Acid,Butylene Glycol,Inulin,Sodium Polyacrylate,Methylparaben,Parfum (Fragrance),Lactic Acid",4.6,50.0,43.98,43.98,Ziaja,0.0,"water (water),isononyl isononanoate, butylene glycol dicaprylate,dicaprate, glycerin, propylene glycol, urea, cetearyl alcohol, glyceryl stearate, peg-100 stearate, potassium cetyl phosphate, cetyl palmitate, dimethicone, hydrogenated coco - glycerides, macadamia ternifolia seed oil, gossypium herbaceum (cotton) seed oil, squalane, sodium lactate, ceramide 3,ceramide 6 ii, ceramide 1,phytosphingosine, cholesterol, sodium lauroyl lactylate, carbomer, xanthan gum, panthenol, malic acid, butylene glycol, inulin, sodium polyacrylate, methylparaben, parfum (fragrance),lactic acid"
LaQ Doberman,"masło do twarzy, 50 ml",6,27.99,34.99,/laq-maslo-do-twarzy-50-ml-000000000000406620.html,"Kojące,
Łagodzące,
Natłuszczające,
Nawilżające,
Ochronne,
Odżywcze,
Regenerujące","Butyrospermum Parkii Butter, Citrullus Vulgaris Seed Oil, Rubus Idaeus Seed Oil, Tocopherol, Cannabis Sativa Seed Oil, Copaifera Officinalis Resin, Glyceryl Isostearate, Palmitoyl Hydrolyzed Wheat Protein, Potassium Cocoyl Hydrolyzed Wheat Protein, Panthenol, Glycyrrhetinic Acid, Allantoin, Lecithin, Olea Europaea Fruit Oil, Parfum, Benzyl Salicylate, Citronellol, Coumarin, Geraniol, Linalool, Limonene",5.0,50.0,69.98,55.98,LaQ,20.00571591883396,"butyrospermum parkii butter, citrullus vulgaris seed oil, rubus idaeus seed oil, tocopherol, cannabis sativa seed oil, copaifera officinalis resin, glyceryl isostearate, palmitoyl hydrolyzed wheat protein, potassium cocoyl hydrolyzed wheat protein, panthenol, glycyrrhetinic acid, allantoin, lecithin, olea europaea fruit oil, parfum, benzyl salicylate, citronellol, coumarin, geraniol, linalool, limonene"
Tołpa Dermo Face Stimular 40+,"ujędrniający bogaty krem przeciwzmarszczkowy na dzień z SPF15, 40 ml",6,52.99,52.99,/tolpa-krem-do-twarzy-40ml-000000000000226727.html,ujędrniający,"Aqua, Glycerin, C12-15 Alkyl Benzoate, Ethylhexyl Methoxycinnamate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Ethylhexyl Palmitate, Peat Extract, Cetearyl Alcohol, Aluminum Starch Octenylsuccinate, Cetyl Alcohol, Hydrolyzed Wheat Gluten, Enteromorpha Compressa Extract, Cassia Angustifolia Seed Polysaccharide, Ceteareth-20, Disodium EDTA, Carbomer, Sodium Hydroxide, Xanthan Gum, Magnesium Aluminum Silicate, Caesalpinia Spinosa Gum, Ceratonia Siliqua Gum, Hydroxyethylcellulose, Sodium Dextran Sulfate, Parfum, Citric Acid, Benzyl Alcohol, Salicylic Acid, Methylpropanediol, Sorbic Acid, Phenoxyethanol, Ethylhexylglycerin, Potassium Sorbate, Caprylyl Glycol, Benzoic Acid, Tin Oxide, Mica, CI 77891.",4.4,40.0,132.48,132.48,Tołpa,0.0,"water, glycerin, c12 - 15 alkyl benzoate, ethylhexyl methoxycinnamate, diethylamino hydroxybenzoyl hexyl benzoate, ethylhexyl palmitate, peat extract, cetearyl alcohol, aluminum starch octenylsuccinate, cetyl alcohol, hydrolyzed wheat gluten, enteromorpha compressa extract, cassia angustifolia seed polysaccharide, ceteareth-20, disodium edta, carbomer, sodium hydroxide, xanthan gum, magnesium aluminum silicate, caesalpinia spinosa gum, ceratonia siliqua gum, hydroxyethylcellulose, sodium dextran sulfate, parfum, citric acid, benzyl alcohol, salicylic acid, methylpropanediol, sorbic acid, phenoxyethanol, ethylhexylglycerin, potassium sorbate, caprylyl glycol, benzoic acid, tin oxide, mica, ci 77891."
