product_name,product_description,count_of_ratings,product_price,regular_price,product_url,Cena jednostkowa,Działanie,Składniki,Ocena
Cetaphil PS,"lipoaktywny krem nawilżający, 100 g",(114),49.99,57.99,/cetaphil-krem-nawilzajacy-100g-000000000000357851.html,"0,50 zł
/1g",Nawilżające,"Aqua, Glycerin, Petrolatum, Dicaprylyl Ether, Dimethicone, Glyceryl Stearate, Cetyl Alcohol, Helianthus Annuus Seed Oil, Peg-30 Stearate, Panthenol, Niacinamide, Prunus Amygdalus Dulcis Oil, Tocopherol, Tocopheryl Acetate, Pantolactone, Dimethiconol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Carbomer, Propylene Glycol, Bht, Disodium Edta, Benzyl Alcohol, Phenoxyethanol, Sodium Hydroxide, Citric Acid. FIL.1765.V00",4.8
Nacomi Next Level,"nawilżający krem do twarzy SPF50 basic, 50 ml",(322),23.99,36.99,/nacomi-nawilzajacy-krem-do-twarzy-spf50-basic-50-ml-000000000000385252.html,"47,98 zł
/100ml",Nawilżające,"Aqua, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Glycerin, Cetearyl Alcohol, Cetyl Alcohol, Glyceryl Stearate, Olea Europaea Fruit Oil, Coco-Caprylate/Caprate, Hydrogenated Dimer Dilinoleyl / Dimethylcarbonate Copolymer, Hydrogenated Farnesene, Propylheptyl Caprylate, Acrylates/C12-22 Alkyl Methacrylate Copolymer, Stearic Acid, Titanium Dioxide, Passiflora Incarnata Seed Oil, Polyglyceryl-3 PCA, Hydrolyzed Glycosaminoglycans, Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate Crosspolymer, Sodium Hyaluronate, Camellia Sinensis Leaf Extract, Glycine Soja Oil, Tocopherol, Sodium Lauroyl Glutamate, Arginine, Coco-Glucoside, Disodium Lauryl Sulfosuccinate, Raspberry Ketone, Dehydroacetic Acid, Alumina, Parfum, Citric Acid, Benzyl Alcohol, Propanediol, Sodium Benzoate, Ethylhexylglycerin, Benzyl Glycol.
NOWY: Aqua, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Ethylhexyl Triazone, Glycerin, Cetyl Alcohol, Cetearyl Alcohol, Glyceryl Stearate, Methylene Bis-Benzotriazolyl Tetramethylbutylphenol, Coco-Caprylate/Caprate, Isopropyl Myristate, Propylheptyl Caprylate, Hydrogenated Farnesene, Olea Europaea Fruit Oil, Stearic Acid, Sodium Lauroyl Glutamate, Passiflora Incarnata Seed Oil, Camellia Sinensis Leaf Extract, Linum Usitatissimum Seed Extract, Althaea Officinalis Root Extract, Prunus Amygdalus Dulcis Fruit Extract, Hydrolyzed Glycosaminoglycans, Sodium Hyaluronate, Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate Crosspolymer, Tocopherol, Glycine Soja Oil, Potato Starch Modified, Polyglyceryl-3 PCA, Decyl Glucoside, Zea Mays Starch, Propanediol, Tocopheryl Acetate, Dehydroacetic Acid, Xanthan Gum, Propylene Glycol, Citric Acid, Parfum, Raspberry Ketone, Potassium Sorbate, Sodium Benzoate, Benzyl Glycol, Phenoxyethanol, Ethylhexylglycerin, Benzyl Alcohol.",3.5
Bielenda Professional SupremeLab,"intensywnie odżywczy krem z ceramidami do twarzy na noc, 50 ml",(164),77.99,77.99,/bielenda-professional-intensywnie-odzywczy-krem-z-ceramidami-do-twarzy-na-noc-50-ml-000000000000370079.html,"155,98 zł
/100ml",Odżywcze,"Aqua (Water),Caprylic/Capric Triglyceride,Squalane,Propanediol,Sorbitan Stearate,Persea Gratissima (Avocado) Oil,Orbignya Oleifera (Babassu) Seed Oil,Cetearyl Alcohol,Glyceryl Stearate,Tocopheryl Acetate,Glycerin,Sorbitan Olivate,Bertholletia Excels Seed Oil,Lanolin,Glucose,Ceramide NP,Cannabis Sativa (Hemp) Seed Oil,Ribes Nigrum (Black Currant) Seed Oil,Plukenetia Volubilis Seed Oil,Olea Europea (Olive) Fruit Oil,Allantoin,Vegetable Oil,Euphorbia Cerifera (Candelilla) Wax,Polyglyceryl-10 Laurate,Tocopherol,Beta-Sitosterol,Ascorbyl Palmitate,Beta-Carotene,Glycine Soja (Soybean) Oil,Dimethicone,Sorbityl Laurate,Xanthan Gum,Lactic Acid,Citric Acid,Disodium EDTA,Phenoxyethanol,Ethylhexylglycerin,Benzyl Alcohol,Parfum (Fragrance),Benzyl Salicylate,al",4.8
Ziaja Med.,"krem matujący SPF50+ do twarzy, 50 ml",(128),28.99,28.99,/ziaja-med.-krem-matujacy-spf50-do-twarzy-50-ml-000000000000387597.html,"57,98 zł
/100ml",Matujące,"Aqua (Water),C12-15 Alkyl Benzoate,Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,Polymethyl Methacrylate,Diethylamino Hydroxybenzoyl Hexyl Benzoate,Ethylhexyl Salicylate,Ethylhexyl Triazone,Triethylhexanoin,Glycerin,Dimethicone,Potassium Cetyl Phosphate,Methylene Bis-Benzotriazolyl Tetramethylbutylphenol (nano),Polyurethane-35,Cetyl Alcohol,Aluminum Starch Octenylsuccinate,Glyceryl Stearate,PEG-100 Stearate,Panthenol,Tocopheryl Acetate,Xanthan Gum,Carbomer,Disodium EDTA,DMDM Hydantoin,Methylparaben,Ethylparaben,Parfum (Fragrance),Citronellol,Limonene,Sodium Hydroxide",4.7
Basiclab Famillias,"nawilżający krem o bogatej konsystencji do twarzy, 75 ml",(140),39.99,39.99,/basiclab-nawilzajacy-krem-o-bogatej-konsystencji-do-twarzy-75-ml-000000000000383401.html,"53,32 zł
/100ml",Nawilżające,"Aqua (Water), Aloe Barbadensis Leaf Juice, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Vitis Vinifera (Grape) Seed Oil, Cetearyl Alcohol, Glycerin, Glyceryl Stearate Citrate, Pentylene Glycol, Sodium Hyaluronate, Cucumis Sativus Fruit Extract, Nelumbo Nucifera Flower Extract, Nymphaea Coerulea Flower Extract, Rosa Damascena Flower Water, Trehalose, Allantoin, Calcium Gluconate, Copper Gluconate, Gluconolactone, Hydroxyacetophenone, Magnesium Aspartate, Panthenol, Propanediol, Potassium Sorbate, Sodium Benzoate, Tocopherol, Zinc Gluconate.",4.4
Tołpa Estetic,"intensywny zabieg rozjaśniający przebarwienia, 1 zabieg",(22),14.99,21.99,/tolpa-intensywny-zabieg-rozjasniajacy-przebarwienia-1-zabieg-000000000000363643.html,,"Nawilżające,
Ochronne,
Rozjaśniające,
Uelastyczniające","TET030A Aqua, Glycolic Acid, Polysorbate 20, Sodium Hydroxide, Methylpropanediol, Phytic Acid, Potassium Azeloyl Diglycinate, Caprylyl Glycol, Phenylpropanol, DMDM Hydantoin, Iodopropynyl Butylcarbamate. TET030B Aqua, Glycerin, Methylpropanediol, Coco-Caprylate, Glyceryl Stearate Citrate, Peat Extract, Cetyl Alcohol, Aminoethylphosphinic Acid, Butylene Glycol, Citric Acid, Carbomer, Sodium Polyacrylate, Sodium Hydroxide, Tocopherol, Parfum, Caprylyl Glycol, Phenylpropanol, Benzoic Acid. TET030C Aqua, Glycerin, Coco-Caprylate, Methylpropanediol, Steareth-20, Peat Extract, Cetyl Alcohol, Potassium Cetyl Phosphate, Trehalose, Urea, Serine, Sodium Hyaluronate, Pentylene Glycol, Algin, Crithmum Maritimum Callus Culture Filtrate, Tocopherol, Glyceryl Polyacrylate, Pullulan, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Sodium Hydroxide, Sodium Polyacrylate, Disodium Phosphate, Potassium Phosphate, Parfum, Caprylyl Glycol, Phenylpropanol, Benzoic Acid. TET030D Aqua, Methylpropanediol, Coco-Caprylate, Peat Extract, Cetyl Alcohol, Glyceryl Stearate Citrate, Hyaluronic Acid, Crithmum Maritimum Callus Culture Filtrate, Parfum, Carbomer, Tocopherol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Polysorbate 60, Sorbitan Isostearate, Sodium Hydroxide, Caprylyl Glycol, Phenylpropanol, Benzoic Acid.",4.1
Embryolisse,"odżywczo-nawilżający krem do twarzy, 30 ml",(11),39.99,54.99,/embryolisse-odzywczo-nawilzajacy-krem-do-twarzy-30-ml-000000000000370359.html,"133,30 zł
/100ml",Nawilżające,"AQUA. PARAFFINUM LIQUIDUM. STEARIC ACID. GLYCERYL STEARATE. TRIETHANOLAMINE. CERA ALBA. CETYL PALMITATE. BUTYROSPERMUM PARKII. STEARETH-10, POLYACRYLAMIDE C13-14 ISOPARAFFIN, LAURETH-7. PROPYLENE GLYCOL, HYDROLYZED SOY PROTEIN, ALOE BARBADENSIS. 1,2-HEXANEDIOL, CAPRYLYL GLYCOL. TROPOLONE. PARFUM.",5.0
Faceboom Skin Dopamine,"nawilżający krem do twarzy z SPF50, 40 ml",(45),31.49,44.99,/faceboom-nawilzajacy-krem-do-twarzy-z-spf50-40-ml-000000000000428182.html,"78,73 zł
/100ml",Nawilżające,"Aqua (Water),Dibutyl Adipate,Diethylamino Hydroxybenzoyl Hexyl Benzoate,C12-15 Alkyl Benzoate,Propanediol,Glycerin,Cetearyl Olivate,Tris-Biphenyl Triazine (nano),Behenyl Alcohol,Glyceryl Stearate,Sorbitan Olivate,Caprylic/Capric Triglyceride,Isoamyl Laurate,Ethylhexyl Triazone,Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,Methylene Bis-Benzotriazolyl Tetramethylbutylphenol (nano),Orbignya Oleifera (Babassu) Seed Oil,Simmondsia Chinensis (Jojoba) Seed Oil,Sodium Hyaluronate Crosspolymer,Sodium Hyaluronate,Hyaluronic Acid,Aloe Barbadensis Leaf Juice Powder,Panthenol,Polyglyceryl-3 PCA,Ethylhexyl Stearate,Glycine Soja (Soybean) Oil,Arachidyl Glucoside,Arachidyl Alcohol,Tocopherol,Beta-Sitosterol,Ascorbyl Palmitate,Microcrystalline Cellulose,Xanthan Gum,Cellulose Gum,Decyl Glucoside,Polyglyceryl-4 Diisostearate/Polyhydroxystearate/Sebacate,Sodium Isostearate,Squalene,Propylene Glycol,Butylene Glycol,Disodium Phosphate,Raspberry Ketone,Benzyl Alcohol,Parfum (Fragrance),Hexyl Cinnamal,Citronellol,Linalool,Limonene",4.7
La Roche-Posay Effaclar Duo(+),"krem zwalczający niedoskonałości, 40 ml",(225),79.99,79.99,/la-roche-posay-krem-do-twarzy-40ml-000000000000302594.html,"199,98 zł
/100ml",Nawilżające,"609717 21
AQUA / WATER
GLYCERIN
CETEARYL ALCOHOL
CAPRYLIC/CAPRIC TRIGLYCERIDE
GLYCERYL STEARATE
ALCOHOL DENAT.
ETHYLHEXYL PALMITATE
DIMETHICONE
BUTYROSPERMUM PARKII BUTTER / SHEA BUTTER
MYRISTYL MYRISTATE
NIACINAMIDE
PEG-100 STEARATE
GLYCINE SOJA OIL / SOYBEAN OIL
SODIUM POLYACRYLATE
MYRISTYL MALATE PHOSPHONIC ACID
DISODIUM EDTA
CAPRYLYL GLYCOL
CITRIC ACID
TOCOPHEROL
PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE
PHENOXYETHANOL
PARFUM / FRAGRANCE",4.7
Ziaja Naturalnie Pielęgnujemy,"nawilżający krem do twarzy na dzień, 50 ml",(63),12.29,12.29,/ziaja-nawilzajacy-krem-do-twarzy-na-dzien-50-ml-000000000000411827.html,"24,58 zł
/100ml",Nawilżające,"Aqua (Water),Octyldodecanol,Canola Oil,Butyrospermum Parkii (Shea) Butter,Glycerin,Glyceryl Stearate,Glyceryl Stearate Citrate,Cetyl Alcohol,Shea Butter Ethyl Esters,Tripelargonin (C8-C12 Acid Triglyceride),Olea Europaea (Olive) Fruit Oil,Ceramide NP (3),Ceramide AP (611),Ceramide EOP (1),Phytosphingosine,Cholesterol,Sodium Lauroyl Lactylate,Xanthan Gum,Hydroxyacetophenone,Sodium Benzoate,Carbomer,Parfum (Fragrance),Citral,Limonene,Sodium Hydroxide",4.8
Bandi Anti Dry,"emulsja do twarzy silnie nawilżająca, 50 ml",(209),67.99,67.99,/bandi-emulsja-do-twarzy-silnie-nawilzajaca-50ml-000000000000298027.html,"135,98 zł
/100ml","Łagodzące,
Natłuszczające,
Nawilżające,
Przeciwzmarszczkowe,
Regenerujące","Aqua/Water, Cyclopentasiloxane, Macadamia Integrifolia Seed Oil, Decyl Cocoate, Glycerin, Squalane, Panthenol, Dimethicone/Vinyl Dimethicone Crosspolymer, Arachidyl Alcohol, Cocos Nucifera (Coconut) Oil, Ectoin, Dimethicone, Triticum Vulgare (Wheat) Germ Extract, Saccharomyces Cerevisiae Extract, Sodium Hyaluronate, Hyaluronic Acid, Allantoin, Hydroxyectoin, Polysilicone-11, Behenyl Alcohol, Sodium Polyacrylate, Pentaerythrityl Distearate, Ethylhexyl Hydroxystearate, Arachidyl Glucoside, Sodium Stearoyl Glutamate, Butylene Glycol, Isoceteth-10, Silica, Disodium Cocoamphodiacetate, PVP, Decyl Glucoside, Parfum/Fragrance, Phenoxyethanol, Ethylhexylglycerin, Sodium Metabisulfite, Pantolactone",4.6
The Saem Eco Earth,"krem przeciwsłoneczny do twarzy z SPF50+, 50 ml",(10),69.99,69.99,/the-saem-krem-przeciwsloneczny-do-twarzy-z-spf50-50-ml-000000000000427679.html,"139,98 zł
/100ml","Kojące,
Łagodzące,
Nawilżające,
Ochrona UV","Water, Butyloctyl Salicylate, Ethylhexyl Salicylate, Dibutyl Adipate, Propanediol, Butylene Glycol,Diethylamino Hydroxybenzoyl Hexyl Benzoate, Titanium Dioxide, Bis-EthylhexyloxyphenolMethoxyphenyl Triazine, C12-15 Alkyl Benzoate, Niacinamide, Ethylhexyl Triazone, 1,2-Hexanediol, Polyglyceryl-2 Stearate, Aluminum Hydroxide, Methyl Methacrylate Crosspolymer,Glyceryl Stearate, Stearic Acid, Stearyl Alcohol, Polyglyceryl-6 Polyricinoleate, SodiumPolyacrylate, Parfum (Fragrance), Ethylhexyl Stearate, Behenyl Alcohol, AmmoniumAcryloyldimethyltaurate/VP Copolymer, Caprylyl Glycol, Adenosine, Ethylhexylglycerin,Trideceth-6, Xanthan Gum, Betula Platyphylla Japonica Juice, Moringa Oleifera Seed Oil,Centella Asiatica Extract, Epilobium Angustifolium Extract, Portulaca Oleracea Extract,Chamomilla Recutita (Matricaria) Flower Extract, Vitex Agnus-Castus Extract, Betula Alba LeafExtract, Maltodextrin, Helianthus Annuus (Sunflower) Seed Oil, Hydrolyzed Acacia MacrostachyaSeed Extract, Lepidium Meyenii Root Extract, Hydrolyzed Vegetable Protein, CalendulaOfficinalis Flower Extract",4.9
Basiclab Famillias,"nawilżający krem o lekkiej konsystencji do twarzy, 75 ml",(174),39.99,39.99,/basiclab-nawilzajacy-krem-o-lekkiej-konsystencji-do-twarzy-75-ml-000000000000383402.html,"53,32 zł
/100ml",Nawilżające,"Aqua (Water), Aloe Barbadensis Leaf Juice, Vitis Vinifera (Grape) Seed Oil, Cetearyl Alcohol, Glycerin, Glyceryl Stearate Citrate, Pentylene Glycol, Borago Officinalis Seed Oil, Sodium Hyaluronate, Cucumis Sativus Fruit Extract, Nelumbo Nucifera Flower Extract, Nymphaea Coerulea Flower Extract, Rosa Damascena Flower Water, Trehalose, Allantoin, Calcium Gluconate, Copper Gluconate, Gluconolactone, Hydroxyacetophenone, Magnesium Aspartate, Panthenol, Propanediol, Potassium Sorbate, Sodium Benzoate, Tocopherol, Zinc Gluconate.",4.200000000000001
Ziaja Witamina C.B3,"krem-maska do twarzy na noc, 50 ml",(6),12.29,12.29,/ziaja-krem-maska-do-twarzy-na-noc-50-ml-000000000000438356.html,"24,58 zł
/100ml",Odżywcze,"Aqua (Water), Octyldodecanol, Canola Oil, Cetyl Alcohol, Glyceryl Stearate, PEG-100 Stearate, Dimethicone, Cetyl Palmitate, Glycerin, Butyrospermum Parkii (Shea) Butter, Propylene Glycol, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Isohexadecane, Polysorbate 80, Hydrolyzed Rice Protein, Niacinamide, Calcium Pantothenate, Sodium Ascorbyl Phosphate, Tocopheryl Acetate, Pyridoxine HCl, Maltodextrin, Sodium Starch Octenylsuccinate, Silica, Camellia Japonica Seed Oil, Xanthan Gum, Cetyl Hydroxyethylcellulose, Disodium EDTA, Hydroxyacetophenone, Methylparaben, Parfum (Fragrance), Linalool, Geraniol, Limonene, Citric Acid.",4.7
